country,year,disorder,value
Montenegro,2008,Binge eating disorder,0.05447511135635828
Montenegro,2009,Anorexia,0.06260114833886099
Montenegro,2009,Bulimia,0.06943359362492002
Montenegro,2009,Binge eating disorder,0.04899144753621901
Montenegro,2010,Anorexia,0.059946081981127
Montenegro,2010,Bulimia,0.0653914598064038
Montenegro,2010,Binge eating disorder,0.05819334761246921
Netherlands,2000,Anorexia,0.13552629949830974
Netherlands,2000,Bulimia,0.13927096926913335
Netherlands,2000,Binge eating disorder,0.1173019831325569
Netherlands,2001,Anorexia,0.13605983593953563
Netherlands,2001,Bulimia,0.14228739120603673
Netherlands,2001,Binge eating disorder,0.11607352175442762
Netherlands,2002,Anorexia,0.14431612503256241
Netherlands,2002,Bulimia,0.13140423227793982
Netherlands,2002,Binge eating disorder,0.11992762968949773
Netherlands,2003,Anorexia,0.1409901880905857
Netherlands,2003,Bulimia,0.1373395541937853
Netherlands,2003,Binge eating disorder,0.11941898941562905
Netherlands,2004,Anorexia,0.13549780357205174
Netherlands,2004,Bulimia,0.1495091237072188
Netherlands,2004,Binge eating disorder,0.11530198322072946
Netherlands,2005,Anorexia,0.1449786914705616
Netherlands,2005,Bulimia,0.14903567627043118
Netherlands,2005,Binge eating disorder,0.10906618565900715
Netherlands,2006,Anorexia,0.12930085372618863
Netherlands,2006,Bulimia,0.15128622410654774
Netherlands,2006,Binge eating disorder,0.12861423436726366
Netherlands,2007,Anorexia,0.14086342668639482
Netherlands,2007,Bulimia,0.1551869216128665
Netherlands,2007,Binge eating disorder,0.12398725540073867
Netherlands,2008,Anorexia,0.15296662458478294
Netherlands,2008,Bulimia,0.1518636426672842
Netherlands,2008,Binge eating disorder,0.12851820844793285
Netherlands,2009,Anorexia,0.1514994646899838
Netherlands,2009,Bulimia,0.1616431799277027
Netherlands,2009,Binge eating disorder,0.13148996378231353
Netherlands,2010,Anorexia,0.1576897479325703
Netherlands,2010,Bulimia,0.16116288936454984
Netherlands,2010,Binge eating disorder,0.1325601732028798
Norway,2000,Anorexia,0.18658829900158372
Norway,2000,Bulimia,0.20253281382418845
Norway,2000,Binge eating disorder,0.1628266532742278
Norway,2001,Anorexia,0.19749781100036706
Norway,2001,Bulimia,0.17965103473856261
Norway,2001,Binge eating disorder,0.17558800806107042
Norway,2002,Anorexia,0.19365129454550872
Norway,2002,Bulimia,0.1865791269660462
Norway,2002,Binge eating disorder,0.1734554024884451
Norway,2003,Anorexia,0.1980969605770592
Norway,2003,Bulimia,0.1846288142973914
Norway,2003,Binge eating disorder,0.17177248892554947
Norway,2004,Anorexia,0.1756201918752467
Norway,2004,Bulimia,0.20260782276716527
Norway,2004,Binge eating disorder,0.17749104155758794
Norway,2005,Anorexia,0.17914106947663644
Norway,2005,Bulimia,0.20521275860461022
Norway,2005,Binge eating disorder,0.17265148091875337
Norway,2006,Anorexia,0.18162171227853216
Norway,2006,Bulimia,0.20918375782945514
Norway,2006,Binge eating disorder,0.16826023359201261
Norway,2007,Anorexia,0.2066150736412787
Norway,2007,Bulimia,0.18516737099836902
Norway,2007,Binge eating disorder,0.17011137696035233
Norway,2008,Anorexia,0.19518395769616514
Norway,2008,Bulimia,0.19270851377686715
Norway,2008,Binge eating disorder,0.17717054732696766
Norway,2009,Anorexia,0.18802457923089336
Norway,2009,Bulimia,0.19523393104049208
Norway,2009,Binge eating disorder,0.18461809312861463
Norway,2010,Anorexia,0.1887926082391705
Norway,2010,Bulimia,0.2048520086647985
Norway,2010,Binge eating disorder,0.175893039296031
Poland,2000,Anorexia,0.06461278435575091
Poland,2000,Bulimia,0.0686709428151593
Poland,2000,Binge eating disorder,0.05086860122908981
Poland,2001,Anorexia,0.06818100689251451
Poland,2001,Bulimia,0.06326321143037301
Poland,2001,Binge eating disorder,0.05491465517711248
Poland,2002,Anorexia,0.06976558413974714
Poland,2002,Bulimia,0.06359296178785302
Poland,2002,Binge eating disorder,0.055307483872399865
Poland,2003,Anorexia,0.06658105572787909
Poland,2003,Bulimia,0.06626835041896557
Poland,2003,Binge eating disorder,0.05788252935315533
Poland,2004,Anorexia,0.07005250010108598
Poland,2004,Bulimia,0.0673382346546447
Poland,2004,Binge eating disorder,0.055532883244269304
Poland,2005,Anorexia,0.07167288870154488
Poland,2005,Bulimia,0.061975019808444595
Poland,2005,Binge eating disorder,0.06153210529001053
Poland,2006,Anorexia,0.06513967138837869
